Generation,Evaluation Score
0,828876679.6900017570149414485562312
1,828876679.6900017570149414485562312
2,828876679.6900017570149414485562312
3,828876679.6900017570149414485562312
4,493234986.8912620304226969769327409
5,493234986.8912620304226969769327409
6,493234986.8912620304226969769327409
7,325152097.6476968286128417165098555
8,325152097.6476968286128417165098555
9,325152097.6476968286128417165098555
10,325152097.6476968286128417165098555
11,325152097.6476968286128417165098555
12,325152097.6476968286128417165098555
13,325152097.6476968286128417165098555
14,325152097.6476968286128417165098555
15,325152097.6476968286128417165098555
16,325152097.6476968286128417165098555
17,325152097.6476968286128417165098555
18,325152097.6476968286128417165098555
19,325152097.6476968286128417165098555
20,325152097.6476968286128417165098555
21,325152097.6476968286128417165098555
22,325152097.6476968286128417165098555
23,325152097.6476968286128417165098555
24,325152097.6476968286128417165098555
25,325152097.6476968286128417165098555
26,325152097.6476968286128417165098555
27,325152097.6476968286128417165098555
28,325152097.6476968286128417165098555
29,325152097.6476968286128417165098555
30,325152097.6476968286128417165098555
31,325152097.6476968286128417165098555
32,325152097.6476968286128417165098555
33,325152097.6476968286128417165098555
34,325152097.6476968286128417165098555
35,325152097.6476968286128417165098555
36,325152097.6476968286128417165098555
37,325152097.6476968286128417165098555
38,325152097.6476968286128417165098555
39,325152097.6476968286128417165098555
40,325152097.6476968286128417165098555
41,325152097.6476968286128417165098555
42,325152097.6476968286128417165098555
43,325152097.6476968286128417165098555
44,325152097.6476968286128417165098555
45,325152097.6476968286128417165098555
46,325152097.6476968286128417165098555
47,325152097.6476968286128417165098555
48,325152097.6476968286128417165098555
49,325152097.6476968286128417165098555
50,325152097.6476968286128417165098555
51,325152097.6476968286128417165098555
52,325152097.6476968286128417165098555
53,325152097.6476968286128417165098555
54,325152097.6476968286128417165098555
55,325152097.6476968286128417165098555
56,325152097.6476968286128417165098555
57,325152097.6476968286128417165098555
58,325152097.6476968286128417165098555
59,325152097.6476968286128417165098555
60,325152097.6476968286128417165098555
61,325152097.6476968286128417165098555
62,325152097.6476968286128417165098555
63,325152097.6476968286128417165098555
64,325152097.6476968286128417165098555
65,325152097.6476968286128417165098555
66,325152097.6476968286128417165098555
67,325152097.6476968286128417165098555
68,325152097.6476968286128417165098555
69,325152097.6476968286128417165098555
70,325152097.6476968286128417165098555
71,325152097.6476968286128417165098555
72,325152097.6476968286128417165098555
73,325152097.6476968286128417165098555
74,325152097.6476968286128417165098555
75,325152097.6476968286128417165098555
76,325152097.6476968286128417165098555
77,325152097.6476968286128417165098555
78,325152097.6476968286128417165098555
79,325152097.6476968286128417165098555
80,325152097.6476968286128417165098555
81,325152097.6476968286128417165098555
82,325152097.6476968286128417165098555
83,325152097.6476968286128417165098555
84,325152097.6476968286128417165098555
85,325152097.6476968286128417165098555
86,325152097.6476968286128417165098555
87,325152097.6476968286128417165098555
88,325152097.6476968286128417165098555
89,325152097.6476968286128417165098555
90,325152097.6476968286128417165098555
91,325152097.6476968286128417165098555
92,325152097.6476968286128417165098555
93,325152097.6476968286128417165098555
94,325152097.6476968286128417165098555
95,325152097.6476968286128417165098555
96,325152097.6476968286128417165098555
97,325152097.6476968286128417165098555
98,325152097.6476968286128417165098555
99,325152097.6476968286128417165098555
100,325152097.6476968286128417165098555
101,325152097.6476968286128417165098555
102,325152097.6476968286128417165098555
103,325152097.6476968286128417165098555
104,325152097.6476968286128417165098555
105,325152097.6476968286128417165098555
106,325152097.6476968286128417165098555
107,325152097.6476968286128417165098555
108,325152097.6476968286128417165098555
109,325152097.6476968286128417165098555
110,325152097.6476968286128417165098555
111,325152097.6476968286128417165098555
112,325152097.6476968286128417165098555
113,325152097.6476968286128417165098555
114,325152097.6476968286128417165098555
115,325152097.6476968286128417165098555
116,325152097.6476968286128417165098555
117,325152097.6476968286128417165098555
118,325152097.6476968286128417165098555
119,325152097.6476968286128417165098555
120,325152097.6476968286128417165098555
121,325152097.6476968286128417165098555
122,325152097.6476968286128417165098555
123,325152097.6476968286128417165098555
124,325152097.6476968286128417165098555
125,325152097.6476968286128417165098555
126,325152097.6476968286128417165098555
127,325152097.6476968286128417165098555
128,325152097.6476968286128417165098555
129,325152097.6476968286128417165098555
130,325152097.6476968286128417165098555
131,325152097.6476968286128417165098555
132,325152097.6476968286128417165098555
133,325152097.6476968286128417165098555
134,325152097.6476968286128417165098555
135,325152097.6476968286128417165098555
136,325152097.6476968286128417165098555
137,325152097.6476968286128417165098555
138,325152097.6476968286128417165098555
139,325152097.6476968286128417165098555
140,325152097.6476968286128417165098555
141,325152097.6476968286128417165098555
142,325152097.6476968286128417165098555
143,325152097.6476968286128417165098555
144,325152097.6476968286128417165098555
145,325152097.6476968286128417165098555
146,325152097.6476968286128417165098555
147,325152097.6476968286128417165098555
148,325152097.6476968286128417165098555
149,325152097.6476968286128417165098555
150,325152097.6476968286128417165098555
151,325152097.6476968286128417165098555
152,325152097.6476968286128417165098555
153,325152097.6476968286128417165098555
154,325152097.6476968286128417165098555
155,325152097.6476968286128417165098555
156,325152097.6476968286128417165098555
157,325152097.6476968286128417165098555
158,325152097.6476968286128417165098555
159,325152097.6476968286128417165098555
160,325152097.6476968286128417165098555
161,325152097.6476968286128417165098555
162,325152097.6476968286128417165098555
163,325152097.6476968286128417165098555
164,325152097.6476968286128417165098555
165,325152097.6476968286128417165098555
166,325152097.6476968286128417165098555
167,325152097.6476968286128417165098555
168,325152097.6476968286128417165098555
169,325152097.6476968286128417165098555
170,325152097.6476968286128417165098555
171,325152097.6476968286128417165098555
172,325152097.6476968286128417165098555
173,325152097.6476968286128417165098555
174,325152097.6476968286128417165098555
175,325152097.6476968286128417165098555
176,325152097.6476968286128417165098555
177,325152097.6476968286128417165098555
178,325152097.6476968286128417165098555
179,325152097.6476968286128417165098555
180,325152097.6476968286128417165098555
181,325152097.6476968286128417165098555
182,325152097.6476968286128417165098555
183,325152097.6476968286128417165098555
184,325152097.6476968286128417165098555
185,325152097.6476968286128417165098555
186,325152097.6476968286128417165098555
187,325152097.6476968286128417165098555
188,325152097.6476968286128417165098555
189,325152097.6476968286128417165098555
190,325152097.6476968286128417165098555
191,325152097.6476968286128417165098555
192,325152097.6476968286128417165098555
193,325152097.6476968286128417165098555
194,325152097.6476968286128417165098555
195,325152097.6476968286128417165098555
196,182858134.2528663414996720874210293
197,182858134.2528663414996720874210293
198,182858134.2528663414996720874210293
199,182858134.2528663414996720874210293
200,182858134.2528663414996720874210293
201,182858134.2528663414996720874210293
202,182858134.2528663414996720874210293
203,182858134.2528663414996720874210293
204,182858134.2528663414996720874210293
205,182858134.2528663414996720874210293
206,182858134.2528663414996720874210293
207,182858134.2528663414996720874210293
208,182858134.2528663414996720874210293
209,182858134.2528663414996720874210293
210,182858134.2528663414996720874210293
211,182858134.2528663414996720874210293
212,182858134.2528663414996720874210293
213,182858134.2528663414996720874210293
214,182858134.2528663414996720874210293
215,182858134.2528663414996720874210293
216,182858134.2528663414996720874210293
217,182858134.2528663414996720874210293
218,182858134.2528663414996720874210293
219,182858134.2528663414996720874210293
220,182858134.2528663414996720874210293
221,182858134.2528663414996720874210293
222,182858134.2528663414996720874210293
223,182858134.2528663414996720874210293
224,182858134.2528663414996720874210293
225,182858134.2528663414996720874210293
226,182858134.2528663414996720874210293
227,182858134.2528663414996720874210293
228,182858134.2528663414996720874210293
229,182858134.2528663414996720874210293
