Generation,Evaluation Score
0,46501
1,46501
2,46501
3,46501
4,46493
5,46493
6,46493
7,46493
8,46493
9,46493
10,46493
11,46493
12,46493
13,46493
14,46493
15,46493
16,46493
17,46493
18,46493
19,46493
20,46493
21,46493
22,46493
23,46493
24,46493
25,46493
26,46493
27,46493
28,46493
29,46493
30,46493
31,46493
32,46493
33,46493
34,46493
35,46493
36,46493
37,46493
38,46493
39,46493
40,46493
41,46493
42,46493
43,46493
44,46493
45,46493
46,46493
47,46493
48,46493
49,46493
50,46493
51,46493
52,46493
53,46493
54,46493
55,46493
56,46493
57,46493
58,46493
59,46493
60,46493
61,46493
62,46493
63,46493
64,46493
65,46493
66,46493
67,46493
68,46493
69,46493
70,46493
71,46493
72,46493
73,46493
74,46493
75,46493
76,46493
77,40784
78,40784
79,40784
80,40784
81,40784
82,40784
83,40784
84,40784
85,40784
86,40784
87,40784
88,40784
89,40784
90,40784
91,40784
92,40784
93,40784
94,40784
95,40784
96,40784
97,40784
98,40784
99,40784
100,40784
101,40784
102,40784
103,40784
104,40784
105,40784
106,40784
107,40784
108,40784
109,40784
110,40784
111,40784
112,40784
113,40784
114,40784
115,40784
116,40784
117,40784
118,40784
119,40784
120,40784
121,40784
122,40778
123,40778
124,40778
125,40778
126,40778
127,40778
128,40778
129,40778
130,40778
131,40778
132,40778
133,40778
134,40778
135,40778
136,40778
137,40778
138,40778
139,40778
140,40778
141,40778
142,40778
143,40778
144,40778
145,40778
146,40778
147,40778
148,40778
149,40778
150,40778
151,40778
152,40778
153,40778
154,40778
155,40778
156,40778
157,40778
158,40778
159,40778
160,40778
161,40778
162,40778
163,40778
164,40778
165,40778
166,40778
167,40778
168,40778
169,40778
170,40778
171,40778
172,40778
173,40778
174,40778
175,40778
176,40778
177,40778
178,40778
179,40778
180,40778
181,40778
182,40778
183,40778
184,40778
185,40778
186,40778
187,40778
188,40778
189,40778
190,40778
191,40778
192,40778
193,40778
194,40778
195,40778
196,40778
197,40778
198,40778
199,40778
200,40778
201,40778
202,40778
203,40778
204,40778
205,40778
206,40778
207,40778
208,40778
209,40778
210,40778
211,40778
212,40778
213,40778
214,40778
215,40778
216,40778
217,40778
218,40778
219,38609
220,38609
221,38609
222,38609
223,38609
224,38609
225,38609
226,36156
227,36156
228,36156
229,36156
230,36156
231,36156
232,36156
233,36156
234,36156
235,36156
236,36156
237,36156
238,36156
239,36156
240,36156
241,36156
242,36156
243,36156
244,36156
245,36156
246,36156
247,36156
248,36156
249,36156
250,36156
251,36156
252,36156
253,36156
254,36156
255,36156
256,36156
257,36156
258,36156
259,36156
260,36156
261,36156
262,36156
263,36156
264,36156
265,36156
266,36156
267,36156
268,36156
269,36156
270,36156
271,36156
272,36156
273,36156
274,36156
275,36156
276,36156
277,36156
278,36156
279,36156
280,36156
281,36156
282,36156
283,36156
284,36156
285,36156
286,36156
287,36156
288,36156
289,36156
290,36156
291,36156
292,36156
293,36156
294,36156
295,36156
296,36156
297,36156
298,36156
299,36156
300,36156
301,36156
302,36156
303,36156
304,36156
305,36156
306,36156
307,36156
308,36156
309,36156
310,36156
311,36156
312,36156
313,36156
314,36156
315,36156
316,36156
317,36156
318,36156
319,36156
320,36156
321,36156
322,36156
323,36156
324,36156
325,36156
326,36156
327,36156
328,36156
329,36156
330,36156
331,36156
332,36156
333,36156
334,36156
335,36156
336,36156
337,36156
338,36156
339,36156
340,36156
341,36156
342,36156
343,36156
344,36156
345,36156
346,36156
347,36156
348,36156
349,36156
350,36156
351,36156
352,36156
353,36156
354,36156
355,36156
356,36156
357,36156
358,36156
359,36156
360,36156
361,36156
362,36156
363,36156
364,36156
365,36156
366,36156
367,36156
368,36156
369,36156
370,36156
371,36156
372,36156
373,36156
374,36156
375,36156
376,36156
377,36156
378,36156
379,36156
380,36156
381,36156
382,36156
383,36156
384,36156
385,36156
386,36156
387,36156
388,36156
389,36156
390,36156
391,36156
392,36156
393,36156
394,36156
395,36156
396,36156
397,36156
398,36156
399,36156
400,36156
401,36156
402,36156
403,36156
404,36156
405,36156
406,36156
407,36156
408,36156
409,36156
410,36156
411,36156
412,36156
413,36156
414,36156
415,36156
416,36156
417,36156
418,36156
419,36156
420,36156
421,36156
422,36156
423,36156
424,36156
425,36156
426,36156
427,36156
428,36156
429,36156
430,36156
431,36156
432,36156
433,36156
434,36156
435,36156
436,36156
437,36156
438,36156
439,36156
440,36156
441,36156
442,36156
443,36156
444,36156
445,36156
446,36156
447,36156
448,36156
449,36156
450,36156
451,36156
452,36156
453,36156
454,36156
455,36156
456,36156
457,36156
458,36156
459,36156
460,36156
461,36156
462,36156
463,36156
464,36156
465,36156
466,36156
467,36156
468,36156
469,36156
470,36156
471,36156
472,36156
473,36156
474,36156
475,36156
476,36156
477,36156
478,36156
479,36156
480,36156
481,36156
482,36156
483,36156
484,36156
485,36156
486,36156
487,36156
488,36156
489,36156
490,36156
491,36156
492,36156
493,36156
494,36156
495,36156
496,36156
497,36156
498,36156
499,36156
500,36156
501,36156
502,36156
503,36156
504,36156
505,36156
506,36156
507,36156
508,36156
509,36156
510,36156
511,36156
512,36156
513,36156
514,36156
515,36156
516,36156
517,36156
518,36156
519,36156
520,36156
521,36156
522,36156
523,36156
524,36156
525,36156
526,36156
527,36156
528,36156
529,36156
530,36156
531,36156
532,36156
533,36156
534,36156
535,36156
536,36156
537,36156
538,36156
539,36156
540,36156
541,36156
542,36156
543,36156
544,36156
545,36156
546,36156
547,36156
548,36156
549,36156
550,36156
551,36156
552,36156
553,36156
554,36156
555,36156
556,36156
557,36156
558,36156
559,36156
560,36156
561,36156
562,36156
563,36156
564,36156
565,36156
566,36156
567,36156
568,36156
569,36156
570,36156
571,36156
572,36156
573,36156
574,36156
575,36156
576,36156
577,36156
578,36156
579,36156
580,36156
581,36156
582,36156
583,36156
584,36156
585,36156
586,36156
587,36156
588,36156
589,36156
590,36156
591,36156
592,36156
593,36156
594,36156
595,36156
596,36156
597,36156
598,36156
599,36156
600,36156
601,36156
602,36156
603,36156
604,36156
605,36156
606,36156
607,36156
608,36156
609,36156
610,36156
611,36156
612,36156
613,36156
614,36156
615,36156
616,36156
617,36156
618,36156
619,36156
620,36156
621,36156
622,36156
623,36156
624,36156
625,36156
626,36156
627,36156
628,36156
629,36156
630,36156
631,36156
632,36156
633,36156
634,36156
635,36156
636,36156
637,36156
638,36156
639,36156
640,36156
641,36156
642,36156
643,36156
644,36156
645,36156
646,36156
647,36156
648,36156
649,36156
650,36156
651,36156
652,36156
653,36156
654,36156
655,36156
656,36156
657,36156
658,36156
659,36156
660,36156
661,36156
662,36156
663,36156
664,36156
665,36156
666,36156
667,36156
668,36156
669,36156
670,36156
671,36156
672,36156
673,36156
674,36156
675,36156
676,36156
677,36156
678,36156
679,36156
680,36156
681,36156
682,36156
683,36156
684,36156
685,36156
686,36156
687,36156
688,36156
689,36156
690,36156
691,36156
692,36156
693,36156
694,36156
695,36156
696,36156
697,36156
698,36156
699,36156
700,36156
701,36156
702,36156
703,36156
704,36156
705,36156
706,36156
707,36156
708,36156
709,36156
710,36156
711,36156
712,36156
713,36156
714,36156
715,36156
716,36156
717,36156
718,36156
719,36156
720,36156
721,36156
722,36156
723,36156
724,36156
725,36156
726,36156
727,36156
728,36156
729,36156
730,36156
731,36156
732,36156
733,36156
734,36156
735,36156
736,36156
737,36156
738,36156
739,36156
740,36156
741,36156
742,36156
743,36156
744,36156
745,36156
746,36156
747,36156
748,36156
749,36156
750,36156
751,36156
752,36156
753,36156
754,36156
755,36156
756,36156
757,36156
758,36156
759,36156
760,36156
761,36156
762,36156
763,36156
764,36156
765,36156
766,36156
767,36156
768,36156
769,36156
770,36156
771,36156
772,36156
773,36156
774,36156
775,36156
776,36156
777,36156
778,36156
779,36156
780,36156
781,36156
782,36156
783,36156
784,36156
785,36156
786,36156
787,36156
788,36156
789,36156
790,36156
791,36156
792,36156
793,36156
794,36156
795,36156
796,36156
797,36156
798,36156
799,36156
800,36156
801,36156
802,36156
803,36156
804,36156
805,36156
806,36156
807,36156
808,36156
809,36156
810,36156
811,36156
812,36156
813,36156
814,36156
815,36156
816,36156
817,36156
818,36156
819,36156
820,36156
821,36156
822,36156
823,36156
824,36156
825,36156
826,36156
827,36156
828,36156
829,36156
830,36156
831,36156
832,36156
833,36156
834,36156
835,36156
836,36156
837,36156
838,36156
839,36156
840,36156
841,36156
842,36156
843,36156
844,36156
845,36156
846,36156
847,36156
848,36156
849,36156
850,36156
851,36156
852,36156
853,36156
854,36156
855,36156
856,36156
857,36156
858,36156
859,36156
860,36156
861,36156
862,36156
863,36156
864,36156
865,36156
866,36156
867,36156
868,36156
869,36156
870,36156
871,36156
872,36156
873,36156
874,36156
875,36156
876,36156
877,36156
878,36156
879,36156
880,36156
881,36156
882,36156
883,36156
884,36156
885,36156
886,36156
887,36156
888,36156
889,36156
890,36156
891,36156
892,36156
893,36156
894,36156
895,36156
896,36156
897,36156
898,36156
899,36156
900,36156
901,36156
902,36156
903,36156
904,36156
905,36156
906,36156
907,36156
908,36156
909,36156
910,36156
911,36156
912,36156
913,36156
914,36156
915,36156
916,36156
917,36156
918,36156
919,36156
920,36156
921,36156
922,36156
923,36156
924,36156
925,36156
926,36156
927,36156
928,36156
929,36156
930,36156
931,36156
932,36156
933,36156
934,36156
935,36156
936,36156
937,36156
938,36156
939,36156
940,36156
941,36156
942,36156
943,36156
944,36156
945,36156
946,36156
947,36156
948,36156
949,36156
950,36156
951,36156
952,36156
953,36156
954,36156
955,36156
956,36156
957,36156
958,36156
959,36156
960,36156
961,36156
962,36156
963,36156
964,36156
965,36156
966,36156
967,36156
968,36156
969,36156
970,36156
971,36156
972,36156
973,36156
974,36156
975,36156
976,36156
977,36156
978,36156
979,36156
980,36156
981,36156
982,36156
983,36156
984,36156
985,36156
986,36156
987,36156
988,36156
989,36156
990,36156
991,36156
992,36156
993,36156
994,36156
995,36156
996,36156
997,36156
998,36156
999,36156
1000,36156
1001,36156
1002,36156
1003,36156
1004,36156
1005,36156
1006,36156
1007,36156
1008,36156
1009,36156
1010,36156
1011,36156
1012,36156
1013,36156
1014,36156
1015,36156
1016,36156
1017,36156
1018,36156
1019,36156
1020,36156
1021,36156
1022,36156
1023,36156
1024,36156
1025,36156
1026,36156
1027,36156
1028,36156
1029,36156
1030,36156
1031,36156
1032,36156
1033,36156
1034,36156
1035,36156
1036,36156
1037,36156
1038,36156
1039,36156
1040,36156
1041,36156
1042,36156
1043,36156
1044,36156
1045,36156
1046,36156
1047,36156
1048,36156
1049,36156
1050,36156
1051,36156
1052,36156
1053,36156
1054,36156
1055,36156
1056,36156
1057,36156
1058,36156
1059,36156
1060,36156
1061,36156
1062,36156
1063,36156
1064,36156
